Year-Month,Southwest Border
2017-10,"25,488"
2017-11,"29,085"
2017-12,"28,995"
2018-01,"25,975"
2018-02,"26,666"
2018-03,"37,390"
2018-04,"38,243"
2018-05,"40,339"
2018-06,"34,089"
2018-07,"31,299"
2018-08,"37,524"
2018-09,"41,486"
2018-10,"51,002"
2018-11,"51,857"
2018-12,"50,749"
2019-01,"47,986"
2019-02,"66,450"
